station_id,triplet,name,state,lat,lon,elevation_m
1046,1046:WY:SNTL,Cinnabar Park,WY,41.23843,-106.23101,2947.4
402,402:WY:SNTL,Cloud Peak Reservoir,WY,44.40328,-107.06074,2996.2
405,405:WY:SNTL,Cold Springs,WY,43.27676,-109.44585,2938.3
982,982:WY:SNTL,Cole Canyon,WY,44.48632,-104.41057,1807.5
419,419:WY:SNTL,Cottonwood Creek,WY,42.6459,-110.81482,2350.0
1045,1045:WY:SNTL,Crow Creek,WY,41.22824,-105.38571,2535.9
923,923:WY:SNTL,Deer Park,WY,42.59076,-108.90273,2953.5
449,449:WY:SNTL,Divide Peak,WY,41.30399,-107.15255,2651.8
451,451:WY:SNTL,Dome Lake,WY,44.57462,-107.29537,2709.7
460,460:WY:SNTL,East Rim Divide,WY,43.13097,-110.2023,2441.4
468,468:WY:SNTL,Elkhart Park G.S.,WY,43.00657,-109.75893,2868.2
472,472:WY:SNTL,Evening Star,WY,44.65258,-109.78422,2752.3
1082,1082:WY:SNTL,Grand Targhee,WY,43.77933,-110.92783,2822.4
497,497:WY:SNTL,Granite Creek,WY,43.34298,-110.43495,2063.5
499,499:WY:SNTL,Grassy Lake,WY,44.12602,-110.83429,2234.2
501,501:WY:SNTL,Grave Springs,WY,43.46643,-107.23977,2609.1
506,506:WY:SNTL,Gros Ventre Summit,WY,43.38939,-110.12943,2670.0
944,944:WY:SNTL,Gunsight Pass,WY,43.38332,-109.87815,2993.1
509,509:WY:SNTL,Hams Fork,WY,42.146,-110.67833,2395.7
512,512:WY:SNTL,Hanson Sawmill,WY,44.25602,-106.97983,2548.1
525,525:WY:SNTL,Hobbs Park,WY,42.86984,-109.09455,3072.4
544,544:WY:SNTL,Indian Creek,WY,42.30023,-110.67753,2865.1
554,554:WY:SNTL,Kelley R.S.,WY,42.26554,-110.80181,2511.6
555,555:WY:SNTL,Kendall R.S.,WY,43.24922,-110.01671,2374.4
560,560:WY:SNTL,Kirwin,WY,43.86067,-109.32163,2920.0
571,571:WY:SNTL,Laprele Creek,WY,42.43566,-105.86051,2551.2
1134,1134:WY:SNTL,Larsen Creek,WY,42.58019,-109.08829,2706.6
577,577:WY:SNTL,Lewis Lake Divide,WY,44.20862,-110.66628,2401.8
1131,1131:WY:SNTL,Little Goose,WY,44.54315,-107.17865,2609.1
1047,1047:WY:SNTL,Little Snake River,WY,41.07051,-106.94284,2721.9
585,585:WY:SNTL,Little Warm,WY,43.50278,-109.752,2856.0
597,597:WY:SNTL,Loomis Park,WY,43.17387,-110.14007,2511.6
616,616:WY:SNTL,Marquette,WY,44.3016,-109.24019,2682.2
1196,1196:WY:SNTL,Med Bow,WY,41.37833,-106.34697,3200.4
625,625:WY:SNTL,Middle Powder,WY,43.62733,-107.18152,2365.2
661,661:WY:SNTL,New Fork Lake,WY,43.11265,-109.94947,2554.2
668,668:WY:SNTL,North French Creek,WY,41.33087,-106.37558,3093.7
673,673:WY:SNTL,Old Battle,WY,41.15426,-106.96926,2999.2
676,676:WY:SNTL,Owl Creek,WY,43.65868,-109.00988,2740.2
683,683:WY:SNTL,Parker Peak,WY,44.73396,-109.91484,2871.2
689,689:WY:SNTL,Phillips Bench,WY,43.51687,-110.91258,2490.2
1133,1133:WY:SNTL,Pocket Creek,WY,42.7121,-109.4112,2856.0
703,703:WY:SNTL,Powder River Pass,WY,44.16188,-107.12622,2889.5
716,716:WY:SNTL,Reno Hill,WY,42.57089,-106.08969,2563.4
1015,1015:WY:SNTL,Sage Creek Basin,WY,41.40107,-107.2574,2386.6
730,730:WY:SNTL,Salt River Summit,WY,42.5075,-110.9099,2325.6
